StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_6_TEXT,Q2,Q2_13_TEXT,Q3,Q4,Q4_7_TEXT,Q5,Q5_10_TEXT,Q7,Q8,Q8_5_TEXT,Q9,Q9_5_TEXT,Q10_1,Q10_2,Q10_3,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q12_5_TEXT,Q13,Q15,Q15_5_TEXT,Q16,Q17,Q17_5_TEXT,Q21,Q20,Q19_1,Q19_2,Q19_3,Q23,Q25
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,"What is your primary field of work/study?
(Select the option that most closely matches your area.) - Selected Choice","What is your primary field of work/study?
(Select the option that most closely matches your area.) - Other (please specify) - Text",What is your familiarity with AI tools?,Which AI tools have you used in the past? (Select all that apply and add manually if needed.) - Selected Choice,Which AI tools have you used in the past? (Select all that apply and add manually if needed.) - Other (please specify) - Text,What is the primary purpose for which you use AI tools? - Selected Choice,What is the primary purpose for which you use AI tools? - Other (please specify) - Text,"For writing tasks, what specific activities do you use AI for?","For learning purposes, what do you most frequently use AI tools for? - Selected Choice","For learning purposes, what do you most frequently use AI tools for? - Other (please specify) - Text","For professional or entrepreneurial purposes, what do you use AI for? - Selected Choice","For professional or entrepreneurial purposes, what do you use AI for? - Other (please specify) - Text","Do you prefer using AI tools for accomplishing new tasks or for tasks you have already done several times? 

Note: Distribute a percentage to each option (total must equal 100%) (For 0%, please also move the scale to 0%) - I prefer using AI tools to accomplish a new task I’ve never done before to gain insights on how to solve it.","Do you prefer using AI tools for accomplishing new tasks or for tasks you have already done several times? 

Note: Distribute a percentage to each option (total must equal 100%) (For 0%, please also move the scale to 0%) - I prefer using AI tools to accomplish tasks I’ve done many times before, but in a quicker or more productive manner.","Do you prefer using AI tools for accomplishing new tasks or for tasks you have already done several times? 

Note: Distribute a percentage to each option (total must equal 100%) (For 0%, please also move the scale to 0%) - Both equally","How much do you use AI tools? (Provide percentages totaling 100%) (For 0%, please also move the scale to 0%) - Work-related tasks","How much do you use AI tools? (Provide percentages totaling 100%) (For 0%, please also move the scale to 0%) - Personal life tasks","How much do you use AI tools? (Provide percentages totaling 100%) (For 0%, please also move the scale to 0%) - Learning or educational purposes","How much do you use AI tools? (Provide percentages totaling 100%) (For 0%, please also move the scale to 0%) - Creative or artistic tasks","How much do you use AI tools? (Provide percentages totaling 100%) (For 0%, please also move the scale to 0%) - Other (please specify)",When do you typically use AI tools? (Select all that apply) - Selected Choice,When do you typically use AI tools? (Select all that apply) - Other (please specify) - Text,"How often do you use AI tools for technical or data-intensive tasks (e.g., coding, debugging, algorithm design)?",How would you describe your attitude toward AI tools? - Selected Choice,How would you describe your attitude toward AI tools? - Other (please specify) - Text,Do you have concerns about using AI tools in your work or daily life?,What are your main concerns about AI tools? - Selected Choice,What are your main concerns about AI tools? - Other (please specify) - Text,How likely are you to trust the AI results? (Please provide a percentage),"How satisfied are you when you use an AI tool, and it provides you with an answer/output?",How frequently do you engage in the following behaviors when interacting with AI tools? - How often do you critically reflect on the AI tool's output/answer?,How frequently do you engage in the following behaviors when interacting with AI tools? - How often do you reprompt or redirect an AI tool to give you the desired outcome?,How frequently do you engage in the following behaviors when interacting with AI tools? - How often do you use polite language in prompting/chatting with the AI tool?,How much do you take ethical concerns into consideration when using an AI tool?,What features would you like to see in AI tools to better support your needs?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_6_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_13_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_7_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_10_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_5_TEXT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_5_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_5_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_5_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25_TEXT""}"
2024-12-02 11:01:15,2024-12-02 11:19:53,IP Address,77.119.197.199,100,1117,True,2024-12-02 11:19:53,R_8QawJ2HpNFWpwvg,,,,,48.1436,16.2941,anonymous,EN,Female,,Marketing and Advertising,,3 - Intermediate,"ChatGPT,AI-based writing assistants (e.g., Grammarly)",,"Learning complex topics,Writing tasks (e.g., emails, resumes, essays, reports),Brainstorming ideas,Mental health support,Professional development (e.g., career advice, networking tips)",,"Grammar and spelling checks,Rephrasing and proofreading,Creating outlines,Communicative writing (e.g., emails, letters)",Acting as a tutor for specific subjects,,"Productivity enhancement (e.g., scheduling, organizing)",,70,30,0,0,10,90,0,0,"During personal free time,When solving specific problems or challenges",,2 - Rarely,Cautiously optimistic,,"Yes ","Ethical implications (e.g., bias, misuse),Over-reliance on AI",,70,Somewhat satisfied,3 - Sometimes,3 - Sometimes,4 - Often,3 - Moderately,read files better
2024-12-02 12:44:07,2024-12-02 12:50:28,IP Address,172.226.131.32,100,380,True,2024-12-02 12:50:28,R_38zDK3CVFWSMQHO,,,,,48.2049,16.3662,anonymous,EN,Male,,Law and Legal Studies,,2 - Beginner,ChatGPT,,"Learning complex topics,Writing tasks (e.g., emails, resumes, essays, reports),Brainstorming ideas",,"Grammar and spelling checks,Rephrasing and proofreading,Communicative writing (e.g., emails, letters)",Summarizing information,,,,0,0,100,10,4,10,0,0,"During work hours,During personal free time",,1 - Never,Cautiously optimistic,,No,,,30,Somewhat satisfied,5 - Always,5 - Always,5 - Always,2 - Slightly,"As precisely as possible. "
2024-12-02 13:02:44,2024-12-02 13:09:06,IP Address,62.46.239.233,100,381,True,2024-12-02 13:09:06,R_8h9i2gbKp4tHrxO,,,,,48.3003,16.3441,anonymous,EN,Female,,Education and Teaching,,2 - Beginner,ChatGPT,,"Brainstorming ideas,Creative projects (e.g., art, music, storytelling),Entertainment (e.g., games, trivia)",,,,,,,,100,,40,40,10,9,1,"During work hours,During personal free time,When solving specific problems or challenges,Whenever inspiration or need arises",,1 - Never,Cautiously optimistic,,"Yes ","Privacy and data security,Over-reliance on AI",,50,Extremely dissatisfied,5 - Always,5 - Always,5 - Always,4 - Significantly,"Image Designer that works "
2024-12-02 13:20:52,2024-12-02 13:26:43,IP Address,41.66.123.197,100,350,True,2024-12-02 13:26:43,R_8MeOuDfe5u2R0Yh,,,,,48.2372,16.3771,anonymous,EN,Female,,"Media, Communication, and Journalism",,3 - Intermediate,"ChatGPT,MidJourney,AI-based writing assistants (e.g., Grammarly)",,"Writing tasks (e.g., emails, resumes, essays, reports),Brainstorming ideas,Mental health support",,"Grammar and spelling checks,Rephrasing and proofreading,Communicative writing (e.g., emails, letters)",,,,,80,20,,100,60,40,1,1,"During work hours,When solving specific problems or challenges",,1 - Never,Cautiously optimistic,,No,,,70,Extremely dissatisfied,3 - Sometimes,3 - Sometimes,5 - Always,3 - Moderately,i don‘t know
2024-12-02 13:23:56,2024-12-02 13:31:43,IP Address,178.232.179.214,100,467,True,2024-12-02 13:31:44,R_21Y00LANGbS0Jqe,,,,,59.9016,10.7343,anonymous,EN,Female,,Marketing and Advertising,,4 - Advanced,"ChatGPT,DALL-E,AI-based writing assistants (e.g., Grammarly)",,"Learning complex topics,Writing tasks (e.g., emails, resumes, essays, reports),Brainstorming ideas,Data analysis or pattern discovery,Professional development (e.g., career advice, networking tips)",,"Grammar and spelling checks,Rephrasing and proofreading,Communicative writing (e.g., emails, letters)",Summarizing information,,Other (please specify),"I do not use if for professional purpose, as I currently to not work.",59,41,,0,20,80,0,0,"During personal free time,When solving specific problems or challenges",,3 - Occasionally,Excited about their potential,,No,,,60,Somewhat satisfied,4 - Often,4 - Often,2 - Rarely,3 - Moderately,"Can't think of anything right now. "
2024-12-02 13:24:52,2024-12-02 13:32:07,IP Address,91.65.26.157,100,434,True,2024-12-02 13:32:07,R_8fkc712KBQHRHQj,,,,,52.4608,13.566,anonymous,EN,Female,,"Social Sciences (e.g., psychology, sociology, political science)",,3 - Intermediate,"ChatGPT,AI-based writing assistants (e.g., Grammarly),AI-based analytics tools (e.g., Tableau with AI features)",,"Learning complex topics,Writing tasks (e.g., emails, resumes, essays, reports),Data analysis or pattern discovery",,"Grammar and spelling checks,Rephrasing and proofreading",Summarizing information,,,,80,20,0,70,10,90,0,0,"During personal free time,When solving specific problems or challenges",,4 - Frequently,Cautiously optimistic,,No,,,30,Somewhat satisfied,5 - Always,3 - Sometimes,5 - Always,4 - Significantly,"Do not know "
2024-12-02 14:30:48,2024-12-02 14:34:27,IP Address,94.123.214.75,100,218,True,2024-12-02 14:34:28,R_2qXGyENZsh93JJv,,,,,41.03,28.9601,anonymous,EN,Female,,"Science, Technology, Engineering, and Mathematics",,4 - Advanced,"ChatGPT,AI-based writing assistants (e.g., Grammarly)",,"Writing tasks (e.g., emails, resumes, essays, reports),Automating repetitive tasks (e.g., debugging, scheduling)",,"Rephrasing and proofreading,Creating outlines",,,,,29,52,0,100,13,50,50,24,When solving specific problems or challenges,,1 - Never,Neutral,,No,,,40,Neither satisfied nor dissatisfied,4 - Often,4 - Often,4 - Often,5 - Completely,Kaynakça gösterimi
2024-12-02 14:30:59,2024-12-02 14:34:53,IP Address,95.70.154.98,100,234,True,2024-12-02 14:34:53,R_8CBHoxjZJjRRamd,,,,,41.0551,28.9347,anonymous,EN,Male,,Business and Management,,3 - Intermediate,"ChatGPT,MidJourney,AI-based writing assistants (e.g., Grammarly)",,"Writing tasks (e.g., emails, resumes, essays, reports),Brainstorming ideas",,"Grammar and spelling checks,Rephrasing and proofreading,Communicative writing (e.g., emails, letters)",,,,,74,82,77,100,18,27,1,0,"During work hours,During personal free time",,1 - Never,Cautiously optimistic,,No,,,80,Somewhat dissatisfied,3 - Sometimes,3 - Sometimes,5 - Always,1 - Not at all,-
